"","seqid","source","type","start","end","strand","phase","sample","cluster_id","nearest_mibig","mibig_class","dice","score","partial_cluster"
"18","JADKDV010000002.1","SanntiSv0.9.1","CLUSTER","371446","374192",NA,NA,"GCA_016718315.1_ASM1671831v1_genomic_sanntis","JADKDV010000002.1_sanntis_1","BGC0002020","NRP Saccharide","0.333","0.660","partial=00"
"28","JADKDV010000003.1","SanntiSv0.9.1","CLUSTER","92346","94091",NA,NA,"GCA_016718315.1_ASM1671831v1_genomic_sanntis","JADKDV010000003.1_sanntis_1","BGC0000647","Terpene","0.714","0.980","partial=00"
"37","JADKDV010000004.1","SanntiSv0.9.1","CLUSTER","249938","267259",NA,NA,"GCA_016718315.1_ASM1671831v1_genomic_sanntis","JADKDV010000004.1_sanntis_1","BGC0000282","Polyketide","0.647","0.580","partial=00"
"47","JADKDV010000005.1","SanntiSv0.9.1","CLUSTER","546581","558425",NA,NA,"GCA_016718315.1_ASM1671831v1_genomic_sanntis","JADKDV010000005.1_sanntis_1","BGC0001168","NRP","0.522","0.690","partial=00"
"19","JADJYR010000004.1","SanntiSv0.9.1","CLUSTER","100764","122995",NA,NA,"GCA_016719695.1_ASM1671969v1_genomic_sanntis","JADJYR010000004.1_sanntis_1","BGC0001168","NRP","0.535","0.690","partial=00"
"29","JADJYR010000006.1","SanntiSv0.9.1","CLUSTER","407959","413612",NA,NA,"GCA_016719695.1_ASM1671969v1_genomic_sanntis","JADJYR010000006.1_sanntis_1","BGC0001894","Saccharide","0.480","0.500","partial=00"
"110","JADKJY010000002.1","SanntiSv0.9.1","CLUSTER","232717","242959",NA,NA,"GCA_016720765.1_ASM1672076v1_genomic_sanntis","JADKJY010000002.1_sanntis_1","BGC0001168","NRP","0.543","0.630","partial=00"
"210","JADKJY010000003.1","SanntiSv0.9.1","CLUSTER","13092","22810",NA,NA,"GCA_016720765.1_ASM1672076v1_genomic_sanntis","JADKJY010000003.1_sanntis_1","BGC0001168","NRP","0.487","0.710","partial=00"
"38","JADKJY010000007.1","SanntiSv0.9.1","CLUSTER","356164","370240",NA,NA,"GCA_016720765.1_ASM1672076v1_genomic_sanntis","JADKJY010000007.1_sanntis_1","BGC0000790","Saccharide","0.545","0.390","partial=00"
"48","JADKJY010000007.1","SanntiSv0.9.1","CLUSTER","376551","417751",NA,NA,"GCA_016720765.1_ASM1672076v1_genomic_sanntis","JADKJY010000007.1_sanntis_2","BGC0000690","Saccharide","0.617","0.480","partial=00"
"53","JADKJY010000009.1","SanntiSv0.9.1","CLUSTER","61263","77553",NA,NA,"GCA_016720765.1_ASM1672076v1_genomic_sanntis","JADKJY010000009.1_sanntis_1","BGC0000282","Polyketide","0.630","0.660","partial=00"
"111","JADKIN010000012.1","SanntiSv0.9.1","CLUSTER","92554","94299",NA,NA,"GCA_016721225.1_ASM1672122v1_genomic_sanntis","JADKIN010000012.1_sanntis_1","BGC0000647","Terpene","0.714","0.980","partial=00"
"211","JADKIN010000027.1","SanntiSv0.9.1","CLUSTER","4999","19500",NA,NA,"GCA_016721225.1_ASM1672122v1_genomic_sanntis","JADKIN010000027.1_sanntis_1","BGC0000282","Polyketide","0.697","0.600","partial=00"
"39","JADKIN010000034.1","SanntiSv0.9.1","CLUSTER","18781","31870",NA,NA,"GCA_016721225.1_ASM1672122v1_genomic_sanntis","JADKIN010000034.1_sanntis_1","BGC0001168","NRP","0.524","0.680","partial=00"
"49","JADKIN010000035.1","SanntiSv0.9.1","CLUSTER","2","12865",NA,NA,"GCA_016721225.1_ASM1672122v1_genomic_sanntis","JADKIN010000035.1_sanntis_1","BGC0001894","Saccharide","0.594","0.440","partial=10"
"112","JAEURT010000099.1","SanntiSv0.9.1","CLUSTER","3","11303",NA,NA,"GCA_016788365.1_ASM1678836v1_genomic_sanntis","JAEURT010000099.1_sanntis_1","BGC0001894","Saccharide","0.490","0.500","partial=10"
"212","JAEURT010000178.1","SanntiSv0.9.1","CLUSTER","1","8378",NA,NA,"GCA_016788365.1_ASM1678836v1_genomic_sanntis","JAEURT010000178.1_sanntis_1","BGC0001168","NRP","0.444","0.720","partial=11"
"113","JAFLCK010000006.1","SanntiSv0.9.1","CLUSTER","30281","39572",NA,NA,"GCA_017303615.1_ASM1730361v1_genomic_sanntis","JAFLCK010000006.1_sanntis_1","BGC0000677","Terpene","0.739","0.450","partial=00"
"213","JAFLCK010000018.1","SanntiSv0.9.1","CLUSTER","61469","76194",NA,NA,"GCA_017303615.1_ASM1730361v1_genomic_sanntis","JAFLCK010000018.1_sanntis_1","BGC0001168","NRP","0.581","0.610","partial=00"
"310","JAFLCK010000020.1","SanntiSv0.9.1","CLUSTER","83043","101233",NA,NA,"GCA_017303615.1_ASM1730361v1_genomic_sanntis","JAFLCK010000020.1_sanntis_1","BGC0001747","Other","0.625","0.470","partial=01"
"410","JAFLCK010000022.1","SanntiSv0.9.1","CLUSTER","22941","36749",NA,NA,"GCA_017303615.1_ASM1730361v1_genomic_sanntis","JAFLCK010000022.1_sanntis_1","BGC0001894","Saccharide","0.552","0.490","partial=00"
"114","JAGNTS010000016.1","SanntiSv0.9.1","CLUSTER","64690","76256",NA,NA,"GCA_017987375.1_ASM1798737v1_genomic_sanntis","JAGNTS010000016.1_sanntis_1","BGC0001168","NRP","0.522","0.700","partial=01"
"214","JAGNTS010000099.1","SanntiSv0.9.1","CLUSTER","1","10494",NA,NA,"GCA_017987375.1_ASM1798737v1_genomic_sanntis","JAGNTS010000099.1_sanntis_1","BGC0001894","Saccharide","0.574","0.430","partial=11"
"115","JAGNPJ010000070.1","SanntiSv0.9.1","CLUSTER","3","8354",NA,NA,"GCA_017989675.1_ASM1798967v1_genomic_sanntis","JAGNPJ010000070.1_sanntis_1","BGC0001168","NRP","0.405","0.770","partial=10"
"215","JAGNPJ010000149.1","SanntiSv0.9.1","CLUSTER","3","8826",NA,NA,"GCA_017989675.1_ASM1798967v1_genomic_sanntis","JAGNPJ010000149.1_sanntis_1","BGC0000656","Terpene","0.520","0.720","partial=10"
"311","JAGNPJ010000180.1","SanntiSv0.9.1","CLUSTER","1","7544",NA,NA,"GCA_017989675.1_ASM1798967v1_genomic_sanntis","JAGNPJ010000180.1_sanntis_1","BGC0001894","Saccharide","0.500","0.490","partial=11"
"116","JAGOCO010000040.1","SanntiSv0.9.1","CLUSTER","242","6223",NA,NA,"GCA_017998685.1_ASM1799868v1_genomic_sanntis","JAGOCO010000040.1_sanntis_1","BGC0000282","Polyketide","0.333","0.790","partial=10"
"216","JAGOCO010000167.1","SanntiSv0.9.1","CLUSTER","2","7572",NA,NA,"GCA_017998685.1_ASM1799868v1_genomic_sanntis","JAGOCO010000167.1_sanntis_1","BGC0001168","NRP","0.405","0.730","partial=11"
"312","JAGOCO010000209.1","SanntiSv0.9.1","CLUSTER","1","6107",NA,NA,"GCA_017998685.1_ASM1799868v1_genomic_sanntis","JAGOCO010000209.1_sanntis_1","BGC0001894","Saccharide","0.490","0.500","partial=10"
"117","JAHQWC010000059.1","SanntiSv0.9.1","CLUSTER","2","18949",NA,NA,"GCA_019634025.1_ASM1963402v1_genomic_sanntis","JAHQWC010000059.1_sanntis_1","BGC0000752","Saccharide","0.641","0.510","partial=11"
"118","JAJQJM010000003.1","SanntiSv0.9.1","CLUSTER","13851","28234",NA,NA,"GCA_021323475.1_ASM2132347v1_genomic_sanntis","JAJQJM010000003.1_sanntis_1","BGC0000231","Polyketide","0.600","0.520","partial=00"
"217","JAJQJM010000047.1","SanntiSv0.9.1","CLUSTER","18319","22129",NA,NA,"GCA_021323475.1_ASM2132347v1_genomic_sanntis","JAJQJM010000047.1_sanntis_1","BGC0000228","Polyketide","0.312","0.740","partial=01"
"313","JAJQJM010000063.1","SanntiSv0.9.1","CLUSTER","3643","16517",NA,NA,"GCA_021323475.1_ASM2132347v1_genomic_sanntis","JAJQJM010000063.1_sanntis_1","BGC0000868","Other","0.533","0.460","partial=00"
"411","JAJQJM010000074.1","SanntiSv0.9.1","CLUSTER","10112","23668",NA,NA,"GCA_021323475.1_ASM2132347v1_genomic_sanntis","JAJQJM010000074.1_sanntis_1","BGC0000763","Saccharide","0.625","0.500","partial=01"
"119","JAKFVI010000032.1","SanntiSv0.9.1","CLUSTER","64845","96775",NA,NA,"GCA_021732305.1_ASM2173230v1_genomic_sanntis","JAKFVI010000032.1_sanntis_1","BGC0001894","Saccharide","0.632","0.520","partial=00"
"218","JAKFVI010000088.1","SanntiSv0.9.1","CLUSTER","23250","38510",NA,NA,"GCA_021732305.1_ASM2173230v1_genomic_sanntis","JAKFVI010000088.1_sanntis_1","BGC0000282","Polyketide","0.600","0.710","partial=00"
"314","JAKFVI010000096.1","SanntiSv0.9.1","CLUSTER","56023","68748",NA,NA,"GCA_021732305.1_ASM2173230v1_genomic_sanntis","JAKFVI010000096.1_sanntis_1","BGC0001168","NRP","0.532","0.700","partial=00"
"412","JAKFVI010000116.1","SanntiSv0.9.1","CLUSTER","1","5059",NA,NA,"GCA_021732305.1_ASM2173230v1_genomic_sanntis","JAKFVI010000116.1_sanntis_1","BGC0000871","Other","0.548","0.550","partial=10"
"54","JAKFVI010000135.1","SanntiSv0.9.1","CLUSTER","15486","76960",NA,NA,"GCA_021732305.1_ASM2173230v1_genomic_sanntis","JAKFVI010000135.1_sanntis_1","BGC0001947","Saccharide","0.630","0.500","partial=01"
"120","JADYXR010000020.1","SanntiSv0.9.1","CLUSTER","11570","20684",NA,NA,"GCA_021772095.1_ASM2177209v1_genomic_sanntis","JADYXR010000020.1_sanntis_1","BGC0000773","Saccharide","0.614","0.390","partial=00"
"219","JADYXR010000063.1","SanntiSv0.9.1","CLUSTER","2916","13535",NA,NA,"GCA_021772095.1_ASM2177209v1_genomic_sanntis","JADYXR010000063.1_sanntis_1","BGC0000282","Polyketide","0.571","0.570","partial=00"
"315","JADYXR010000122.1","SanntiSv0.9.1","CLUSTER","35777","66093",NA,NA,"GCA_021772095.1_ASM2177209v1_genomic_sanntis","JADYXR010000122.1_sanntis_1","BGC0000869","Other","0.433","0.960","partial=00"
"413","JADYXR010000161.1","SanntiSv0.9.1","CLUSTER","3","23238",NA,NA,"GCA_021772095.1_ASM2177209v1_genomic_sanntis","JADYXR010000161.1_sanntis_1","BGC0000308","NRP","0.577","0.600","partial=10"
"121","JADYXQ010000011.1","SanntiSv0.9.1","CLUSTER","3","10247",NA,NA,"GCA_021772135.1_ASM2177213v1_genomic_sanntis","JADYXQ010000011.1_sanntis_1","BGC0001168","NRP","0.568","0.650","partial=10"
"220","JADYXQ010000074.1","SanntiSv0.9.1","CLUSTER","24363","29431",NA,NA,"GCA_021772135.1_ASM2177213v1_genomic_sanntis","JADYXQ010000074.1_sanntis_1","BGC0002020","NRP Saccharide","0.333","0.660","partial=00"
"316","JADYXQ010000174.1","SanntiSv0.9.1","CLUSTER","115","11446",NA,NA,"GCA_021772135.1_ASM2177213v1_genomic_sanntis","JADYXQ010000174.1_sanntis_1","BGC0001168","NRP","0.436","0.730","partial=11"
"414","JADYXQ010000176.1","SanntiSv0.9.1","CLUSTER","1","10177",NA,NA,"GCA_021772135.1_ASM2177213v1_genomic_sanntis","JADYXQ010000176.1_sanntis_1","BGC0000656","Terpene","0.440","0.870","partial=10"
"55","JADYXQ010000204.1","SanntiSv0.9.1","CLUSTER","76","20196",NA,NA,"GCA_021772135.1_ASM2177213v1_genomic_sanntis","JADYXQ010000204.1_sanntis_1","BGC0000886","Other","0.634","0.480","partial=10"
"61","JADYXQ010000222.1","SanntiSv0.9.1","CLUSTER","3","8302",NA,NA,"GCA_021772135.1_ASM2177213v1_genomic_sanntis","JADYXQ010000222.1_sanntis_1","BGC0000284","Polyketide","0.448","0.740","partial=11"
"71","JADYXQ010000228.1","SanntiSv0.9.1","CLUSTER","28430","38618",NA,NA,"GCA_021772135.1_ASM2177213v1_genomic_sanntis","JADYXQ010000228.1_sanntis_1","BGC0001894","Saccharide","0.474","0.650","partial=01"
"8","JADYXQ010000229.1","SanntiSv0.9.1","CLUSTER","3","15183",NA,NA,"GCA_021772135.1_ASM2177213v1_genomic_sanntis","JADYXQ010000229.1_sanntis_1","BGC0000284","Polyketide","0.333","0.860","partial=10"
"122","JADYXS010000148.1","SanntiSv0.9.1","CLUSTER","17","7533",NA,NA,"GCA_021772155.1_ASM2177215v1_genomic_sanntis","JADYXS010000148.1_sanntis_1","BGC0000282","Polyketide","0.444","0.700","partial=10"
"221","JADYXS010000153.1","SanntiSv0.9.1","CLUSTER","3","3444",NA,NA,"GCA_021772155.1_ASM2177215v1_genomic_sanntis","JADYXS010000153.1_sanntis_1","BGC0000805","Saccharide","0.304","0.480","partial=11"
"317","JADYXS010000237.1","SanntiSv0.9.1","CLUSTER","110","14663",NA,NA,"GCA_021772155.1_ASM2177215v1_genomic_sanntis","JADYXS010000237.1_sanntis_1","BGC0001747","Other","0.708","0.430","partial=10"
"415","JADYXS010000256.1","SanntiSv0.9.1","CLUSTER","551","9096",NA,NA,"GCA_021772155.1_ASM2177215v1_genomic_sanntis","JADYXS010000256.1_sanntis_1","BGC0000754","Saccharide","0.500","0.400","partial=10"
"56","JADYXS010000285.1","SanntiSv0.9.1","CLUSTER","2","20304",NA,NA,"GCA_021772155.1_ASM2177215v1_genomic_sanntis","JADYXS010000285.1_sanntis_1","BGC0000284","Polyketide","0.319","0.970","partial=10"
"62","JADYXS010000434.1","SanntiSv0.9.1","CLUSTER","100","10061",NA,NA,"GCA_021772155.1_ASM2177215v1_genomic_sanntis","JADYXS010000434.1_sanntis_1","BGC0001168","NRP","0.526","0.720","partial=11"
"72","JADYXS010000487.1","SanntiSv0.9.1","CLUSTER","95","6011",NA,NA,"GCA_021772155.1_ASM2177215v1_genomic_sanntis","JADYXS010000487.1_sanntis_1","BGC0000835","Polyketide","0.511","0.660","partial=11"
"81","JADYXS010000551.1","SanntiSv0.9.1","CLUSTER","2","12244",NA,NA,"GCA_021772155.1_ASM2177215v1_genomic_sanntis","JADYXS010000551.1_sanntis_1","BGC0001135","NRP","0.520","0.480","partial=10"
"123","JACEUU010000002.1","SanntiSv0.9.1","CLUSTER","489868","505466",NA,NA,"GCA_024998755.1_ASM2499875v1_genomic_sanntis","JACEUU010000002.1_sanntis_1","BGC0000217","Polyketide","0.614","0.590","partial=00"
"222","JACEUU010000003.1","SanntiSv0.9.1","CLUSTER","611516","621163",NA,NA,"GCA_024998755.1_ASM2499875v1_genomic_sanntis","JACEUU010000003.1_sanntis_1","BGC0000790","Saccharide","0.545","0.540","partial=00"
"124","DAIDMR010000036.1","SanntiSv0.9.1","CLUSTER","3","2761",NA,NA,"GCA_027448865.1_ASM2744886v1_genomic_sanntis","DAIDMR010000036.1_sanntis_1","BGC0000248","Polyketide","0.467","0.470","partial=10"
"223","DAIDMR010000230.1","SanntiSv0.9.1","CLUSTER","26161","36453",NA,NA,"GCA_027448865.1_ASM2744886v1_genomic_sanntis","DAIDMR010000230.1_sanntis_1","BGC0000786","Saccharide","0.588","0.410","partial=00"
"318","DAIDMR010000263.1","SanntiSv0.9.1","CLUSTER","1","14599",NA,NA,"GCA_027448865.1_ASM2744886v1_genomic_sanntis","DAIDMR010000263.1_sanntis_1","BGC0000752","Saccharide","0.576","0.560","partial=10"
"125","CAIKEG010000008.1","SanntiSv0.9.1","CLUSTER","37359","63015",NA,NA,"GCA_903826385.1_freshwater_MAG_---_Umea1p2_bin-0125_genomic_sanntis","CAIKEG010000008.1_sanntis_1","BGC0000868","Other","0.385","0.620","partial=00"
"224","CAIKEG010000014.1","SanntiSv0.9.1","CLUSTER","186353","189872",NA,NA,"GCA_903826385.1_freshwater_MAG_---_Umea1p2_bin-0125_genomic_sanntis","CAIKEG010000014.1_sanntis_1","BGC0000589","RiPP","0.250","0.900","partial=00"
"319","CAIKEG010000022.1","SanntiSv0.9.1","CLUSTER","263156","285161",NA,NA,"GCA_903826385.1_freshwater_MAG_---_Umea1p2_bin-0125_genomic_sanntis","CAIKEG010000022.1_sanntis_1","BGC0001733","RiPP","0.614","0.450","partial=00"
"126","CAILME010000001.1","SanntiSv0.9.1","CLUSTER","26785","53959",NA,NA,"GCA_903835245.1_freshwater_MAG_---_Umea_bin-03849_genomic_sanntis","CAILME010000001.1_sanntis_1","BGC0000868","Other","0.442","0.620","partial=00"
"225","CAILME010000004.1","SanntiSv0.9.1","CLUSTER","206675","242456",NA,NA,"GCA_903835245.1_freshwater_MAG_---_Umea_bin-03849_genomic_sanntis","CAILME010000004.1_sanntis_1","BGC0000787","Saccharide","0.667","0.620","partial=00"
"320","CAILME010000008.1","SanntiSv0.9.1","CLUSTER","58436","72575",NA,NA,"GCA_903835245.1_freshwater_MAG_---_Umea_bin-03849_genomic_sanntis","CAILME010000008.1_sanntis_1","BGC0000589","RiPP","0.489","0.640","partial=00"
"416","CAILME010000010.1","SanntiSv0.9.1","CLUSTER","69474","85971",NA,NA,"GCA_903835245.1_freshwater_MAG_---_Umea_bin-03849_genomic_sanntis","CAILME010000010.1_sanntis_1","BGC0000731","Saccharide","0.667","0.440","partial=00"
"127","CAIMAR010000004.1","SanntiSv0.9.1","CLUSTER","206676","242457",NA,NA,"GCA_903839075.1_freshwater_MAG_---_Umea1p3_bin-338_genomic_sanntis","CAIMAR010000004.1_sanntis_1","BGC0000787","Saccharide","0.667","0.620","partial=00"
"226","CAIMAR010000013.1","SanntiSv0.9.1","CLUSTER","58436","72575",NA,NA,"GCA_903839075.1_freshwater_MAG_---_Umea1p3_bin-338_genomic_sanntis","CAIMAR010000013.1_sanntis_1","BGC0000589","RiPP","0.489","0.640","partial=00"
"321","CAIMAR010000014.1","SanntiSv0.9.1","CLUSTER","26785","53959",NA,NA,"GCA_903839075.1_freshwater_MAG_---_Umea1p3_bin-338_genomic_sanntis","CAIMAR010000014.1_sanntis_1","BGC0000868","Other","0.442","0.620","partial=00"
"128","CAIPMU010000003.1","SanntiSv0.9.1","CLUSTER","102884","126974",NA,NA,"GCA_903866275.1_freshwater_MAG_---_Umea1_bin-2013_genomic_sanntis","CAIPMU010000003.1_sanntis_1","BGC0000868","Other","0.351","0.620","partial=00"
"227","CAIPMU010000011.1","SanntiSv0.9.1","CLUSTER","206676","242457",NA,NA,"GCA_903866275.1_freshwater_MAG_---_Umea1_bin-2013_genomic_sanntis","CAIPMU010000011.1_sanntis_1","BGC0000787","Saccharide","0.667","0.620","partial=00"
"322","CAIPMU010000013.1","SanntiSv0.9.1","CLUSTER","69537","86034",NA,NA,"GCA_903866275.1_freshwater_MAG_---_Umea1_bin-2013_genomic_sanntis","CAIPMU010000013.1_sanntis_1","BGC0000731","Saccharide","0.667","0.440","partial=00"
"417","CAIPMU010000020.1","SanntiSv0.9.1","CLUSTER","58436","72575",NA,NA,"GCA_903866275.1_freshwater_MAG_---_Umea1_bin-2013_genomic_sanntis","CAIPMU010000020.1_sanntis_1","BGC0000589","RiPP","0.489","0.640","partial=00"
"129","CAJTLG010000006.1","SanntiSv0.9.1","CLUSTER","51672","74180",NA,NA,"GCA_910577395.1_MGBC104891_genomic_sanntis","CAJTLG010000006.1_sanntis_1","BGC0000773","Saccharide","0.534","0.690","partial=00"
"130","CAJTLW010000002.1","SanntiSv0.9.1","CLUSTER","3","10518",NA,NA,"GCA_910577515.1_MGBC104636_genomic_sanntis","CAJTLW010000002.1_sanntis_1","BGC0000773","Saccharide","0.600","0.450","partial=10"
"228","CAJTLW010000005.1","SanntiSv0.9.1","CLUSTER","68874","75541",NA,NA,"GCA_910577515.1_MGBC104636_genomic_sanntis","CAJTLW010000005.1_sanntis_1","BGC0000790","Saccharide","0.529","0.410","partial=00"
