accession,genus_species,genus,isolation_source_host_focus,isolation_source,symbiosis_type,host_identity,habitat_classification,family,order
GCA_903835245.1_freshwater_MAG_---_Umea_bin-03849_genomic,Vampirovibrio chlorellavorus,Vampirovibrio,Aquatic,Lake,Free-living,Aquatic,Aquatic,Vampirovibrionaceae,Vampirovibrionales
GCA_903839075.1_freshwater_MAG_---_Umea1p3_bin-338_genomic,Vampirovibrio chlorellavorus,Vampirovibrio,Aquatic,Lake,Free-living,Aquatic,Aquatic,Vampirovibrionaceae,Vampirovibrionales
GCA_903866275.1_freshwater_MAG_---_Umea1_bin-2013_genomic,Vampirovibrio chlorellavorus,Vampirovibrio,Aquatic,Lake,Free-living,Aquatic,Aquatic,Vampirovibrionaceae,Vampirovibrionales
GCF_000007925.1_ASM792v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine (Sargasso Sea),Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000009725.1_ASM972v1_genomic,Synechocystis sp.,Synechocystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Merismopediaceae,Synechococcales
GCF_000010065.1_ASM1006v1_genomic,Synechococcus elongatus,Synechococcus,Aquatic,Freshwater (Creek),Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000010625.1_ASM1062v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater (Lake),Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000011345.1_ASM1134v1_genomic,Thermosynechococcus elongatus,Thermosynechococcus,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000011465.1_ASM1146v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine (Mediterranean Sea),Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000011485.1_ASM1148v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine (Gulf Stream),Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000012465.1_ASM1246v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine (North Atlantic Ocean),Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000012505.1_ASM1250v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000012525.1_ASM1252v1_genomic,Synechococcus elongatus,Synechococcus,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000012625.1_ASM1262v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Coast,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000012645.1_ASM1264v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000013205.1_ASM1320v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Freshwater (Hot spring),Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000014585.1_ASM1458v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000015645.1_ASM1564v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000015665.1_ASM1566v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000015685.1_ASM1568v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000015705.1_ASM1570v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000015965.1_ASM1596v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000017845.1_ASM1784v1_genomic,Crocosphaera subtropica,Crocosphaera,Aquatic,Intertidal Coast,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_000018065.1_ASM1806v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000018105.1_ASM1810v1_genomic,Acaryochloris marina,Acaryochloris,Aquatic,Saline,Free-living,Aquatic,Aquatic,Acaryochloridaceae,Acaryochloridales
GCF_000018585.1_ASM1858v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000019485.1_ASM1948v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Saline,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000153045.1_ASM15304v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000153065.1_ASM15306v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000153285.1_ASM15328v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000153805.1_ASM15380v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000153825.1_ASM15382v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000155555.1_ASM15555v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000155595.1_ASM15559v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Snail shell,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000158595.1_ASM15859v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000161795.2_ASM16179v2_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000167195.1_ASM16719v1_genomic,Crocosphaera watsonii,Crocosphaera,Aquatic,Marine,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_000169095.1_ASM16909v1_genomic,Lyngbya sp.,Lyngbya,Aquatic,Intertidal Coast,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000169135.1_ASM16913v1_genomic,Nodularia spumigena,Nodularia,Aquatic,Brackish water,Free-living,Aquatic,Aquatic,Nodulariaceae,Nostocales
GCF_000169335.1_ASM16933v1_genomic,Crocosphaera chwakensis,Crocosphaera,Aquatic,Marine,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_000173555.1_ASM17355v1_genomic,Limnospira maxima,Limnospira,Aquatic,Lake,Free-living,Aquatic,Aquatic,Sirenicapillariaceae,Oscillatoriales
GCF_000175835.1_ASM17583v1_genomic,Cylindrospermopsis raciborskii,Cylindrospermopsis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_000179235.2_ASM17923v2_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Estuary,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000179255.1_ASM17925v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Estuary,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000204075.1_ASM20407v1_genomic,Trichormus variabilis,Trichormus,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_000211815.1_ASM21181v1_genomic,Moorena producens,Moorena,Aquatic,Marine,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000230675.1_ASM23067v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000231365.1_ASM23136v1_genomic,Fischerella thermalis,Fischerella,Aquatic,Hot spring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_000235665.1_ASM23566v2_genomic,Crocosphaera watsonii,Crocosphaera,Aquatic,Marine,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_000238775.2_ASM23877v3_genomic,Acaryochloris sp.,Acaryochloris,Aquatic,Saline Lake,Free-living,Aquatic,Aquatic,Acaryochloridaceae,Acaryochloridales
GCF_000270265.1_ASM27026v1_genomic,Synechocystis sp.,Synechocystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Merismopediaceae,Synechococcales
GCF_000284135.1_ASM28413v1_genomic,Synechocystis sp.,Synechocystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Merismopediaceae,Synechococcales
GCF_000284215.1_ASM28421v1_genomic,Synechocystis sp.,Synechocystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Merismopediaceae,Synechococcales
GCF_000284455.1_ASM28445v1_genomic,Synechocystis sp.,Synechocystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Merismopediaceae,Synechococcales
GCF_000300115.1_Fremyella_diplosiphon-2.0.1_genomic,Tolypothrix sp.,Tolypothrix,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Tolypotrichaceae,Nostocales
GCF_000307995.1_ASM30799v2_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000312165.1_ASM31216v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Water,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000312185.1_ASM31218v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Fish pond,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000312205.1_ASM31220v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000312225.1_ASM31222v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000312245.1_ASM31224v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000312265.1_ASM31226v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000312705.1_ASM31270v1_genomic,Anabaena sp.,Anabaena,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_000314005.1_ASM31400v1_genomic,Spirulina subsalsa,Spirulina,Aquatic,Lake sand,Free-living,Aquatic,Aquatic,Spirulinaceae,Spirulinales
GCF_000316115.1_ASM31611v1_genomic,Leptolyngbya sp.,Leptolyngbya,Aquatic,Planktonic,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_000316515.1_ASM31651v1_genomic,Cyanobium gracile,Cyanobium,Aquatic,Lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000316605.1_ASM31660v1_genomic,Leptolyngbya sp.,Leptolyngbya,Aquatic,Marine,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_000316625.1_ASM31662v1_genomic,Nostoc sp. PCC 7107,Nostoc,Aquatic,Aquatic (Pond),Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_000316645.1_ASM31664v1_genomic,Nostoc sp. PCC 7524,Nostoc,Aquatic,Aquatic (Hot spring),Free-living,Aquatic,Aquatic,Nostocaceae,Nostocales
GCF_000316685.1_ASM31668v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000317025.1_ASM31702v1_genomic,Pleurocapsa sp.,Pleurocapsa,Aquatic,Hot spring,Free-living,Aquatic,Aquatic,Pleurocapsaceae,Pleurocapsales
GCF_000317065.1_ASM31706v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,Snail shell,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_000317145.1_ASM31714v1_genomic,Chamaesiphon minutus,Chamaesiphon,Aquatic,Stream,Free-living,Aquatic,Aquatic,Chamaesiphonaceae,Synechococcales
GCF_000317205.1_FisPCC7414_1.0_genomic,Fischerella muscicola,Fischerella,Aquatic,Hot spring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_000317225.1_FisPCC7521_1.0_genomic,Fischerella thermalis,Fischerella,Aquatic,Hot spring,Free-living,Aquatic,Aquatic,Hapalosiphonaceae,Nostocales
GCF_000317265.1_ChlPCC9212_1.0_genomic,Chlorogloeopsis fritschii,Chlorogloeopsis,Aquatic,Thermal spring,Free-living,Aquatic,Aquatic,Chlorogloeopsidaceae,Nostocales
GCF_000317435.1_ASM31743v1_genomic,Calothrix sp.,Calothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Calotrichaceae,Nostocales
GCF_000317555.1_ASM31755v1_genomic,Gloeocapsa sp.,Gloeocapsa,Aquatic,Hot spring,Free-living,Aquatic,Aquatic,Chroococcaceae,Chroococcales
GCF_000317575.1_ASM31757v1_genomic,Stanieria cyanosphaera,Stanieria,Aquatic,Pool,Free-living,Aquatic,Aquatic,Dermocarpellaceae,Nostocales
GCF_000317615.1_ASM31761v1_genomic,Dactylococcopsis salina,Dactylococcopsis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000317635.1_ASM31763v1_genomic,Halothece sp.,Halothece,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_000330925.1_MicAerT1.0_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000331305.1_ASM33130v1_genomic,Calothrix sp.,Calothrix,Aquatic,Herbarium of freshwater cyano,Free-living,Aquatic,Aquatic,Calotrichaceae,Nostocales
GCF_000332055.1_ASM33205v1_genomic,Xenococcus sp.,Xenococcus,Aquatic,Marine aquarium,Free-living,Aquatic,Aquatic,Xenococcaceae,Pleurocapsales
GCF_000332095.2_ASM33209v2_genomic,Leptolyngbya sp.,Leptolyngbya,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_000332135.1_ASM33213v1_genomic,Anabaena sp.,Anabaena,Aquatic,Intertidal Zone,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_000332155.1_ASM33215v1_genomic,Kamptonema formosum,Kamptonema,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcoleaceae,Oscillatoriales
GCF_000332175.1_ASM33217v1_genomic,Pseudanabaena sp.,Pseudanabaena,Aquatic,Pond,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_000332195.1_ASM33219v1_genomic,Pleurocapsa sp.,Pleurocapsa,Aquatic,Snail shell,Free-living,Aquatic,Aquatic,Pleurocapsaceae,Pleurocapsales
GCF_000332235.1_ASM33223v1_genomic,Geminocystis herdmanni,Geminocystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Geminocystaceae,Chroococcales
GCF_000332275.1_ASM33227v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000332295.1_ASM33229v1_genomic,Fortiea contorta,Fortiea,Aquatic,Freshwater aquarium,Free-living,Aquatic,Aquatic,Fortieaceae,Nostocales
GCF_000332315.1_ASM33231v1_genomic,Prochlorothrix hollandica,Prochlorothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Pseudanabaenaceae,Synechococcales
GCF_000332585.1_MicAerD1.0_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000340565.2_ASM34056v3_genomic,Nodularia spumigena,Nodularia,Aquatic,Brackish water,Free-living,Aquatic,Aquatic,Nodulariaceae,Nostocales
GCF_000340785.1_ASM34078v1_genomic,Synechocystis sp.,Synechocystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Merismopediaceae,Synechococcales
GCF_000353285.1_ASM35328v1_genomic,Leptolyngbya boryana,Leptolyngbya,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_000412595.1_spc777-v1_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000426905.1_Dcir131C_genomic,Dolichospermum circinale,Dolichospermum,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_000426925.1_Acir310F_genomic,Dolichospermum circinale,Dolichospermum,Aquatic,Freshwater,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_000464665.1_NC15_1_genomic,Planktothrix agardhii,Planktothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000464725.1_NC34_1_genomic,Planktothrix agardhii,Planktothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000464745.1_NC405_1_genomic,Planktothrix mougeotii,Planktothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000464765.1_NC406_1_genomic,Planktothrix  prolifica,Planktothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000464785.1_NC407_1_genomic,Planktothrix rubescens,Planktothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000464805.1_NC540_1_genomic,Planktothrix prolifica,Planktothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000464825.1_NC56_3_1_genomic,Planktothrix agardhii,Planktothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000464845.1_NC98_2_genomic,Planktothrix  prolifica,Planktothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000473895.1_KS51_v1_genomic,Rubidibacter lacunae,Rudibacter,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Aphanothecaceae,Chroococcales
GCF_000478195.2_ASM47819v2_genomic,Lyngbya aestuarii,Lyngbya,Aquatic,Marine intertidal mat,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000482245.1_LepHIscaffolds_genomic,Leptolyngbya sp.,Leptolyngbya,Aquatic,Intertidal,Free-living,Aquatic,Aquatic,Leptolyngbyaceae,Synechococcales
GCF_000485815.1_ASM48581v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000505665.1_ASM50566v1_genomic,Thermosynechococcus sp.,Thermosynechococcus,Aquatic,Hot spring,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000515235.1_ASM51523v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Marine,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000521175.1_Aflos454contigs199p_genomic,Aphanizomenon flos-aquae,Aphanizomenon,Aquatic,Lake,Free-living,Aquatic,Aquatic,Aphanizomenonaceae,Nostocales
GCF_000586015.1_SynSpo.0_genomic,Synechococcus spongiarum,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000599945.1_Mic70051.0_genomic,Microcystis aeruginosa,Microcystis,Aquatic,Lake,Free-living,Aquatic,Aquatic,Microcystaceae,Chroococcales
GCF_000710505.1_Plagard2.0_genomic,Planktothrix agardhii,Planktothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Oscillatoriaceae,Oscillatoriales
GCF_000715475.1_ASM71547v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Coastal,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000734895.2_ASM73489v2_genomic,Calothrix sp.,Calothrix,Aquatic,Lake,Free-living,Aquatic,Aquatic,Calotrichaceae,Nostocales
GCF_000737535.1_ASM73753v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000737575.1_ASM73757v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000737595.1_ASM73759v1_genomic,Synechococcus sp. ,Synechococcus,Aquatic,Seawater,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000756305.1_ASM75630v1_genomic,Myxosarcina sp.,Myxosarcina,Aquatic,Coral reef,Free-living,Aquatic,Aquatic,Pleurocapsaceae,Pleurocapsales
GCF_000757845.1_ASM75784v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000757865.1_ASM75786v1_genomic,Prochlorococcus sp.,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000759855.1_ASM75985v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000759865.1_ASM75986v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000759875.1_ASM75987v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000759885.1_ASM75988v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000759935.1_ASM75993v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000759955.1_ASM75995v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
GCF_000759975.1_ASM75997v1_genomic,Prochlorococcus marinus,Prochlorococcus,Aquatic,Ocean,Free-living,Aquatic,Aquatic,Synechococcaceae,Synechococcales
